name,weight,area,depth,flange_width,web_thickness,flange_thickness,inertia_x,plastic_x,radius_x,inertia_y,plastic_y,radius_y,moment_self,compression_self
W1100X343,343,43700,1090,401,18,31,8660,18000,445,331,2570,87.1,7.0100625,16.82415
W310X342,342,43700,384,328,32.8,52.6,1010,6330,152,309,2900,84.1,6.989625,16.7751
W920X345,345,43900,943,307,22.1,39.9,6240,15300,376,195,2000,66.5,7.0509375,16.92225
W920X344,344,44000,927,419,19.3,32,6490,15800,384,391,2880,94.2,7.0305,16.8732
W360X347,347,44200,406,404,27.2,43.7,1250,7140,168,479,3620,104,7.0918125,17.02035
W460X349,349,44300,536,297,29.5,53.6,2040,9000,214,232,2440,72.4,7.1326875,17.11845
W1000X350,350,44600,1010,302,21.1,40.1,7240,16600,404,185,1930,64.5,7.153125,17.1675
W760X350,350,44700,795,384,21.1,38.1,4870,13900,330,356,2870,89.2,7.153125,17.1675
W690X350,350,44800,729,361,23.1,40.9,4040,12700,300,320,2750,84.6,7.153125,17.1675
W840X359,359,45900,869,404,21.1,35.6,5910,15400,358,388,2980,91.9,7.3370625,17.60895
W920X368,368,46800,932,419,20.3,34.3,6950,16900,386,420,3110,95,7.521,18.0504
W1000X371,371,47400,1000,401,19.1,36.1,8160,18400,414,385,2980,90.2,7.5823125,18.19755
W610X372,372,47400,668,335,26.4,48,3530,12200,272,301,2800,79.8,7.60275,18.2466
W530X369,369,47600,602,325,27.9,50.5,2840,11000,244,291,2790,78.2,7.5414375,18.09945
W310X375,375,47800,391,330,35.6,57.2,1130,7010,154,345,3210,84.8,7.6640625,18.39375
W920X381,381,48600,951,310,24.4,43.9,6990,17000,378,220,2250,67.3,7.7866875,18.68805
W360X382,382,48800,417,406,30,48,1420,7980,170,537,4030,105,7.807125,18.7371
W460X384,384,49000,546,300,32.5,58.4,2290,10000,217,261,2720,73.2,7.848,18.8352
W690X384,384,49100,737,363,24.9,45,4500,14000,302,358,3060,85.3,7.848,18.8352
W760X389,389,49700,803,386,23.6,41.9,5450,15500,333,399,3210,89.7,7.9501875,19.08045
W1100X390,390,49800,1100,401,19.9,36.1,10000,20800,450,384,2980,88.1,7.970625,19.1295
W920X390,390,49800,937,422,21.3,36.6,7450,18000,389,454,3340,95.5,7.970625,19.1295
W1000X393,393,49900,1020,302,24.4,43.9,8070,18500,401,205,2160,64,8.0319375,19.27665
W840X392,392,49900,876,401,22.1,39.9,6620,17000,363,433,3310,93,8.0115,19.2276
W1000X412,412,52600,1010,401,21.1,40.1,9120,20500,417,433,3340,90.9,8.42025,20.2086
W610X415,415,52800,678,338,29.5,53.1,4000,13700,274,343,3160,80.5,8.4815625,20.35575
W530X409,409,52800,612,328,31,55.6,3200,12300,246,328,3130,78.7,8.3589375,20.06145
W310X415,415,52800,404,333,38.9,62.7,1290,7880,156,390,3610,85.9,8.4815625,20.35575
W1000X415,415,53100,1020,305,26.2,46,8530,19500,401,217,2290,64,8.4815625,20.35575
W920X420,420,53500,942,422,22.5,39.9,8160,19500,391,499,3650,96.5,8.58375,20.601
W690X419,419,53600,744,366,26.9,49,4950,15300,305,397,3380,86.1,8.5633125,20.55195
W460X421,421,53700,556,302,35.6,63.5,2570,11100,219,293,3030,73.9,8.6041875,20.65005
W360X421,421,53700,424,409,32.8,52.6,1600,8880,172,599,4490,106,8.6041875,20.65005
W1100X433,433,55100,1110,401,22,40.1,11200,23100,452,433,3360,88.6,8.8494375,21.23865
W840X433,433,55200,884,404,24.4,43.9,7370,19000,366,483,3700,93.5,8.8494375,21.23865
W760X434,434,55500,813,389,25.9,47,6200,17400,335,458,3650,90.9,8.869875,21.2877
W1000X438,438,55600,1030,305,26.9,49,9120,20800,404,234,2460,64.8,8.951625,21.4839
W1000X443,443,56300,1010,401,23.6,41.9,9660,21800,414,454,3520,89.9,9.0538125,21.72915
W920X449,449,57400,947,424,24,42.7,8780,21000,391,541,3950,97,9.1764375,22.02345
W310X454,454,57700,414,335,41.4,68.8,1480,8800,160,437,4000,86.9,9.278625,22.2687
W610X455,455,57900,688,340,32,57.9,4450,15100,277,383,3510,81.3,9.2990625,22.31775
W690X457,457,58200,752,366,29.5,53.1,5450,16900,305,437,3720,86.6,9.3399375,22.41585
W360X463,463,59000,434,411,35.8,57.4,1800,9880,175,670,4980,107,9.4625625,22.71015
W460X464,464,59100,566,305,38.6,69.6,2900,12400,221,331,3390,74.9,9.483,22.7592
W840X473,473,60500,894,406,26.4,48,8120,20800,368,537,4100,94.2,9.6669375,23.20065
W1000X483,483,61500,1020,404,25.4,46,10700,23900,417,508,3920,90.9,9.8713125,23.69115
W1000X486,486,61900,1040,307,30,54.1,10200,23100,406,266,2790,65.5,9.932625,23.8383
W760X484,484,61900,823,391,29,52.1,6990,19500,335,516,4130,91.4,9.89175,23.7402
W920X491,491,62500,958,422,25.9,47,9700,23100,394,591,4340,97.3,10.0348125,24.08355
W1000X494,494,63000,1040,310,31,54.1,10300,23400,404,268,2820,65.3,10.096125,24.2307
W610X498,498,63400,699,343,35.1,63,4950,16700,279,429,3900,82,10.177875,24.4269
W1100X499,499,63500,1120,404,26.2,45,12900,26500,452,499,3870,88.6,10.1983125,24.47595
W310X500,500,63800,427,340,45.2,75.2,1690,9880,163,495,4490,88.1,10.21875,24.525
W690X500,500,64000,762,371,32,57.9,6080,18500,307,491,4130,87.6,10.21875,24.525
W360X509,509,65200,445,417,39.1,62.7,2040,11000,177,753,5540,108,10.4026875,24.96645
W840X527,527,67100,904,409,29.5,53.1,9160,23300,368,608,4620,95,10.7705625,25.84935
W760X531,531,67700,833,394,31.5,56.9,7780,21600,338,579,4570,92.5,10.8523125,26.04555
W1000X539,539,68400,1030,406,28.4,51.1,12000,26900,419,574,4420,91.4,11.0158125,26.43795
W920X537,537,68400,965,424,28.4,51.1,10700,25400,396,653,4800,97.8,10.9749375,26.33985
W690X548,548,70300,772,373,35.1,63,6740,20300,310,545,4570,88.4,11.19975,26.8794
